id,date,sender,place,geo_sender,recipient,place,geo_recipient
"desc004/4235","1640-03-08","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176"
"desc004/4236","1640-03-11","Descartes, René (1596-1650)","[Santpoort (nl)]","52.4193488, 4.6314176","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/4237","1640-03-12","Descartes, René (1596-1650)","Santpoort (nl)","52.4193488, 4.6314176","Huygens, Constantijn (1596-1687)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/4239","1640-04-03","Descartes, René (1596-1650)","[Leiden (nl)]","52.1518157, 4.4811088666204295","Golius, Jacobus (1596-1667)","Leiden (nl)","52.1518157, 4.4811088666204295"
"desc004/4241","1640-05-05","Regius, Henricus (1598-1679)","Utrecht (nl)","52.080985600000005, 5.12768396945229","Descartes, René (1596-1650)","[Leiden (nl)]","52.1518157, 4.4811088666204295"
"desc004/4242","1640-05-07","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Pollotti, Alfonso (1603-1668)","[Utrecht (nl)]","52.080985600000005, 5.12768396945229"
"desc004/4243","1640-05-24","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Regius, Henricus (1598-1679)","[Utrecht (nl)]","52.080985600000005, 5.12768396945229"
"desc004/4244","1640-05-30","Regius, Henricus (1598-1679)","Utrecht (nl)","52.080985600000005, 5.12768396945229","Descartes, René (1596-1650)","[Leiden (nl)]","52.1518157, 4.4811088666204295"
"desc004/4245","1640-06-11","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
"desc004/4246","1640-06-13","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Leu de Wilhem, David le (1588-1658)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/4247","1640-06-24","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Leu de Wilhem, David le (1588-1658)","Den Haag (nl)","52.0799838, 4.3113461"
"desc004/4249","1640-07-22","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Hayneuve, Julien (1588-1663)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/4248","1640-07-22","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/4250","1640-07-24","Huygens, Constantijn (1596-1687)","Reek (nl)","51.7466241, 5.6827761","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295"
"desc004/4251","1640-07-29","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Bourdin, Pierre (1595-1653)","Paris (fr)","48.8566969, 2.3514616"
"desc004/4252","1640-07-30","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Mersenne, Marin (1588-1648)","[Paris (fr)]","48.8566969, 2.3514616"
"desc004/4254","1640-07-31","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Huygens, Constantijn (1596-1687)","Rheinberg (de)","51.5458979, 6.6014097"
"desc004/4255","1640-08-06","Descartes, René (1596-1650)","Leiden (nl)","52.1518157, 4.4811088666204295","Mersenne, Marin (1588-1648)","Paris (fr)","48.8566969, 2.3514616"
